MONTADORA;Modelo;VALOR DO DESCONTO;Estado;País;MOTOR
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS PR2 1.0T AT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS PR2 1.0T AT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS PR2 1.0T AT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS PR2 1.0T AT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS PR2 1.0T AT;5000;São Paulo;Brasil;1.0
RENAULT DO BRASIL S.A;STEPWAY 1.0 Zen;5000;Paraná;Brasil;1.0
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FEEL 16V FLEX 5-P (1CSBSUHL05GC9TB0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FEEL 16V FLEX 5-P (1CSBSUHL05GCA0B0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FEEL PACK 16V FLEX Aut. 5-P (1CSBSUHL0MGC9QB0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FEEL PACK 16V FLEX Aut. 5-P (1CSBSUHL0MGC9TB0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FEEL PACK 16V FLEX Aut. 5-P (1CSBSUHL0MGC9ZB0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FEEL PACK 16V FLEX Aut. 5-P (1CSBSUHL0MGCA0B0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FIRST EDITION 16V FLEX Aut. 5-P (1CSBSUHL0MGC9UB0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FIRST EDITION 16V FLEX Aut. 5-P (1CSBSUHL0MGC9VB0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FIRST EDITION 16V FLEX Aut. 5-P (1CSBSUHL0MGCZ0B0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FIRST EDITION 16V FLEX Aut. 5-P (1CSBSUHL0MGCZ1B0);4000;Minas Gerais;Brasil;1.6
